Attribute,Full Name,SiamRPN++_SR,SiamRPN++_NPR,SiamRPN++_PR,SiamRPN++_P@5,OSTrack-384_SR,OSTrack-384_NPR,OSTrack-384_PR,OSTrack-384_P@5,ODTrack_SR,ODTrack_NPR,ODTrack_PR,ODTrack_P@5,LoRAT-g378_SR,LoRAT-g378_NPR,LoRAT-g378_PR,LoRAT-g378_P@5,SAM 2_SR,SAM 2_NPR,SAM 2_PR,SAM 2_P@5,SAMURAI_SR,SAMURAI_NPR,SAMURAI_PR,SAMURAI_P@5,SAM 3_SR,SAM 3_NPR,SAM 3_PR,SAM 3_P@5
AM,Anisotropic Motion,0.3671,0.4705,0.7291,0.7630,0.3240,0.3612,0.5387,0.5755,0.4139,0.4691,0.7394,0.7995,0.3511,0.4118,0.5020,0.5052,0.4081,0.5041,0.6063,0.6302,0.4066,0.5007,0.5992,0.6224,0.4919,0.6302,0.7794,0.8203
BC,Background Clutters,0.4229,0.4738,0.6545,0.3250,0.5710,0.6762,0.7860,0.7556,0.5039,0.5720,0.6866,0.6144,0.5861,0.7318,0.7951,0.7297,0.4213,0.5517,0.6531,0.6069,0.3576,0.4608,0.5405,0.5188,0.4477,0.6167,0.7049,0.7156
DEF,Deformation,0.1230,0.1533,0.0538,0.0208,0.6419,0.8383,0.6435,0.1458,0.5327,0.8413,0.6492,0.1354,0.7411,0.9132,0.8360,0.4688,0.7178,0.9241,0.8619,0.6875,0.7192,0.9246,0.8616,0.6875,0.6786,0.9221,0.8468,0.6042
FO,Full Occlusion,0.1149,0.0537,0.2323,0.0688,0.2512,0.2192,0.4978,0.2250,0.0585,0.0121,0.0339,0.0125,0.3028,0.3631,0.5212,0.5188,0.0975,0.0400,0.1568,0.0375,0.0991,0.0430,0.1634,0.0406,0.1058,0.0827,0.1920,0.0969
IM,Isotropic Motion,0.1863,0.1226,0.5363,0.2000,0.2232,0.2024,0.4857,0.4313,0.0557,0.0107,0.0343,0.0125,0.0637,0.0238,0.0405,0.0312,0.2833,0.5232,0.8913,0.9688,0.3080,0.5104,0.8879,0.9688,0.3738,0.3759,0.8589,0.7875
IPR,In-Plane Rotation,0.4901,0.6325,0.7266,0.5833,0.6574,0.8520,0.8900,0.8990,0.6250,0.7644,0.8183,0.8125,0.7260,0.8941,0.9131,0.9417,0.6449,0.8875,0.9133,0.9688,0.5909,0.8748,0.9090,0.9688,0.6015,0.8892,0.9145,0.9604
IV,Illumination Variation,0.3752,0.4022,0.6918,0.3501,0.4724,0.5542,0.7379,0.7102,0.3895,0.4307,0.6704,0.5071,0.4894,0.6387,0.7068,0.7244,0.4083,0.5514,0.7396,0.6378,0.2985,0.3517,0.4849,0.4354,0.5192,0.7003,0.8603,0.8878
LT,Less Textures,0.2674,0.2683,0.5521,0.2831,0.4214,0.4639,0.6672,0.5533,0.3173,0.3219,0.5251,0.3811,0.4471,0.5717,0.6595,0.6630,0.3470,0.4382,0.6228,0.5055,0.2527,0.2665,0.4043,0.3309,0.4359,0.5725,0.7307,0.7304
MB,Motion Blur,0.4311,0.4539,0.6915,0.2366,0.6127,0.6821,0.7989,0.7851,0.5641,0.5900,0.7878,0.6830,0.6019,0.7610,0.8474,0.7085,0.3468,0.4172,0.5500,0.4426,0.2471,0.2401,0.3219,0.2615,0.4100,0.5527,0.6488,0.6786
OON,Out-of-Normal,0.1230,0.1533,0.0538,0.0208,0.6419,0.8383,0.6435,0.1458,0.5327,0.8413,0.6492,0.1354,0.7411,0.9132,0.8360,0.4688,0.7178,0.9241,0.8619,0.6875,0.7192,0.9246,0.8616,0.6875,0.6786,0.9221,0.8468,0.6042
PO,Partial Occlusion,0.3591,0.4172,0.7547,0.6641,0.3921,0.4376,0.7290,0.7448,0.3318,0.3682,0.5455,0.5781,0.2214,0.2402,0.2985,0.2865,0.4921,0.6962,0.9283,0.9870,0.5011,0.6895,0.9268,0.9870,0.5329,0.6328,0.9145,0.9115
SA,Similar Appearance,0.3424,0.4377,0.6757,0.6228,0.4338,0.5091,0.6591,0.6379,0.4150,0.5013,0.6592,0.6573,0.4818,0.5543,0.6011,0.5733,0.4822,0.6763,0.7926,0.8093,0.4306,0.6597,0.7845,0.8060,0.4984,0.6978,0.8552,0.8481
