Attribute,Full Name,SiamRPN++_SR,SiamRPN++_NPR,SiamRPN++_PR,SiamRPN++_P@5,OSTrack-384_SR,OSTrack-384_NPR,OSTrack-384_PR,OSTrack-384_P@5,ODTrack_SR,ODTrack_NPR,ODTrack_PR,ODTrack_P@5,LoRAT-g378_SR,LoRAT-g378_NPR,LoRAT-g378_PR,LoRAT-g378_P@5,SAM 2_SR,SAM 2_NPR,SAM 2_PR,SAM 2_P@5,SAMURAI_SR,SAMURAI_NPR,SAMURAI_PR,SAMURAI_P@5,SAM 3_SR,SAM 3_NPR,SAM 3_PR,SAM 3_P@5
ARC,Aspect Ratio Change,0.2431,0.4591,0.1153,0.0208,0.2674,0.5154,0.2018,0.1198,0.3735,0.7354,0.3007,0.1302,0.5347,0.7361,0.3211,0.1771,0.4050,0.4804,0.3078,0.1198,0.2656,0.3229,0.1717,0.0104,0.5216,0.7319,0.3244,0.1094
BC,Background Clutter,0.2000,0.2972,0.3993,0.3837,0.1478,0.1628,0.2493,0.2335,0.1854,0.2356,0.3818,0.2821,0.2940,0.3540,0.3938,0.3811,0.2912,0.3390,0.3649,0.3342,0.2703,0.3149,0.3472,0.3160,0.3960,0.4962,0.5335,0.4887
BJT,Background Jitter,0.4945,0.5594,0.6343,0.6753,0.5131,0.5330,0.6686,0.6649,0.4591,0.5035,0.5651,0.5868,0.4837,0.4885,0.4960,0.5260,0.4486,0.4611,0.4847,0.5139,0.4536,0.4683,0.5040,0.5243,0.4933,0.5138,0.5477,0.5747
DEF,Deformation,0.3090,0.7485,0.1761,0.0104,0.2857,0.8016,0.2910,0.2188,0.2837,0.8075,0.3014,0.2500,0.5714,0.8175,0.2954,0.2188,0.3284,0.3175,0.2745,0.2188,0.0476,0.0000,0.0000,0.0000,0.5635,0.8061,0.2987,0.2188
FOC,Full Occlusion,0.3392,0.4586,0.5355,0.5704,0.3804,0.3969,0.5162,0.5728,0.3811,0.3974,0.5460,0.5898,0.4001,0.4056,0.5177,0.5680,0.4723,0.5034,0.5532,0.5801,0.4669,0.4976,0.5510,0.5752,0.4815,0.5096,0.5547,0.5801
IV,Illumination Variation,0.1605,0.2194,0.3580,0.3507,0.1574,0.1462,0.4054,0.3299,0.0992,0.0732,0.1883,0.1736,0.0827,0.0458,0.0504,0.0521,0.0610,0.0094,0.0451,0.0278,0.0699,0.0213,0.0818,0.0486,0.1253,0.1088,0.1662,0.1493
LQ,Low Quality,0.2263,0.2103,0.3377,0.1172,0.3810,0.4146,0.4957,0.3297,0.1734,0.1261,0.3748,0.1094,0.2172,0.4080,0.4725,0.4328,0.3226,0.4371,0.5100,0.4750,0.3299,0.4348,0.5119,0.4672,0.5271,0.6175,0.8196,0.6516
POC,Partial Occlusion,0.2071,0.3190,0.4360,0.3530,0.2482,0.2896,0.3355,0.3452,0.3141,0.4201,0.5240,0.4986,0.4426,0.6018,0.6084,0.6065,0.2575,0.3238,0.3476,0.3189,0.3543,0.4904,0.5265,0.5163,0.5504,0.7224,0.7988,0.7635
ROT,Rotation,0.1896,0.2862,0.4413,0.4224,0.2183,0.2132,0.3459,0.3527,0.2309,0.2457,0.4257,0.3744,0.4057,0.5352,0.6249,0.6406,0.3002,0.3858,0.4297,0.4185,0.4060,0.5498,0.6100,0.6027,0.4898,0.6285,0.7173,0.7132
SOB,Similar Object,0.2220,0.3226,0.4929,0.4023,0.2867,0.3041,0.3829,0.3975,0.3555,0.4296,0.5410,0.5205,0.5016,0.6926,0.7278,0.7432,0.3053,0.4100,0.4425,0.4092,0.4652,0.6684,0.7092,0.7012,0.5997,0.7808,0.8771,0.8477
TO,Tiny Object,0.1405,0.1912,0.3390,0.3212,0.1280,0.1068,0.2937,0.2656,0.1381,0.1652,0.3631,0.3385,0.1362,0.1263,0.1693,0.1510,0.0623,0.0144,0.0398,0.0295,0.0662,0.0211,0.0671,0.0399,0.2479,0.2978,0.4267,0.3976
