detector,class,bin_idx,size_bin,n_gt,n_hit,recall
FairMOT,airplane,2,8-12,200,0,0.0000
FairMOT,airplane,3,12-20,502,42,0.0837
FairMOT,airplane,4,20-40,3661,1623,0.4433
FairMOT,airplane,5,>=40,7587,5005,0.6597
FairMOT,car,0,<5,171580,32817,0.1913
FairMOT,car,1,5-8,80585,22573,0.2801
FairMOT,car,2,8-12,4258,871,0.2046
FairMOT,car,3,12-20,374,12,0.0321
FairMOT,ship,0,<5,5,0,0.0000
FairMOT,ship,1,5-8,1308,343,0.2622
FairMOT,ship,2,8-12,3062,932,0.3044
FairMOT,ship,3,12-20,5746,2009,0.3496
FairMOT,ship,4,20-40,5083,2200,0.4328
FairMOT,ship,5,>=40,1274,340,0.2669
FairMOT,train,0,<5,3,0,0.0000
FairMOT,train,1,5-8,11,0,0.0000
FairMOT,train,2,8-12,15,0,0.0000
FairMOT,train,3,12-20,82,0,0.0000
FairMOT,train,4,20-40,17,0,0.0000
FairMOT,train,5,>=40,973,0,0.0000
FasterRCNN,airplane,2,8-12,200,0,0.0000
FasterRCNN,airplane,3,12-20,502,2,0.0040
FasterRCNN,airplane,4,20-40,3661,2096,0.5725
FasterRCNN,airplane,5,>=40,7587,6882,0.9071
FasterRCNN,ship,0,<5,5,0,0.0000
FasterRCNN,ship,1,5-8,1308,44,0.0336
FasterRCNN,ship,2,8-12,3062,169,0.0552
FasterRCNN,ship,3,12-20,5746,426,0.0741
FasterRCNN,ship,4,20-40,5083,1163,0.2288
FasterRCNN,ship,5,>=40,1274,357,0.2802
FasterRCNN,train,0,<5,3,0,0.0000
FasterRCNN,train,1,5-8,11,0,0.0000
FasterRCNN,train,2,8-12,15,0,0.0000
FasterRCNN,train,3,12-20,82,0,0.0000
FasterRCNN,train,4,20-40,17,1,0.0588
FasterRCNN,train,5,>=40,973,717,0.7369
HiEUM,car,0,<5,171580,75945,0.4426
HiEUM,car,1,5-8,80585,31299,0.3884
HiEUM,car,2,8-12,4258,210,0.0493
HiEUM,car,3,12-20,374,76,0.2032
TGraM,airplane,2,8-12,200,0,0.0000
TGraM,airplane,3,12-20,502,206,0.4104
TGraM,airplane,4,20-40,3661,578,0.1579
TGraM,airplane,5,>=40,7587,3483,0.4591
TGraM,car,0,<5,171580,22345,0.1302
TGraM,car,1,5-8,80585,13853,0.1719
TGraM,car,2,8-12,4258,288,0.0676
TGraM,car,3,12-20,374,67,0.1791
TGraM,ship,0,<5,5,0,0.0000
TGraM,ship,1,5-8,1308,33,0.0252
TGraM,ship,2,8-12,3062,362,0.1182
TGraM,ship,3,12-20,5746,1621,0.2821
TGraM,ship,4,20-40,5083,830,0.1633
TGraM,ship,5,>=40,1274,234,0.1837
TGraM,train,0,<5,3,1,0.3333
TGraM,train,1,5-8,11,0,0.0000
TGraM,train,2,8-12,15,2,0.1333
TGraM,train,3,12-20,82,2,0.0244
TGraM,train,4,20-40,17,0,0.0000
TGraM,train,5,>=40,973,0,0.0000
