task,dataset,seq_id,category,n_frames,n_boxes,purity,frac_small_area,frac_small_side,cats_in_seq,frac_small_per_cat,sqrt_area_max,sqrt_area_median,sqrt_area_min,sqrt_area_p05,sqrt_area_p95
SOT,ootb,ootb/car_1,car,268,268,pure_small,1.0,1.0,,,21.92,21.67,19.93,20.24,21.92
SOT,ootb,ootb/car_10,car,220,220,pure_small,1.0,1.0,,,12.02,11.08,8.12,8.59,11.98
SOT,ootb,ootb/car_11,car,190,190,pure_small,1.0,1.0,,,14.14,12.73,9.28,9.59,14.09
SOT,ootb,ootb/car_12,car,300,300,pure_small,1.0,1.0,,,13.57,13.17,12.3,12.74,13.52
SOT,ootb,ootb/car_13,car,151,151,pure_small,1.0,1.0,,,14.14,13.17,9.17,9.84,14.14
SOT,ootb,ootb/car_14,car,299,299,pure_small,1.0,1.0,,,16.26,14.41,10.7,12.03,16.05
SOT,ootb,ootb/car_15,car,200,200,pure_small,1.0,1.0,,,15.35,14.72,10.15,11.49,15.35
SOT,ootb,ootb/car_16,car,677,677,pure_small,1.0,1.0,,,10.61,8.55,7.07,7.07,10.58
SOT,ootb,ootb/car_17,car,200,200,pure_small,1.0,1.0,,,19.4,19.29,19.29,19.29,19.4
SOT,ootb,ootb/car_18,car,200,200,pure_small,1.0,1.0,,,15.42,15.42,15.42,15.42,15.42
SOT,ootb,ootb/car_19,car,460,460,pure_small,1.0,1.0,,,14.81,14.31,14.19,14.19,14.81
SOT,ootb,ootb/car_2,car,750,750,pure_small,1.0,1.0,,,24.74,20.27,18.53,18.71,24.69
SOT,ootb,ootb/car_20,car,310,310,pure_small,1.0,1.0,,,17.36,17.36,17.36,17.36,17.36
SOT,ootb,ootb/car_21,car,491,491,pure_small,1.0,1.0,,,19.84,19.63,17.81,19.63,19.63
SOT,ootb,ootb/car_22,car,491,491,pure_small,1.0,1.0,,,11.9,11.9,11.9,11.9,11.9
SOT,ootb,ootb/car_23,car,450,450,pure_small,1.0,1.0,,,7.76,7.76,7.35,7.76,7.76
SOT,ootb,ootb/car_24,car,139,139,pure_small,1.0,1.0,,,13.79,11.67,11.24,11.45,12.08
SOT,ootb,ootb/car_25,car,300,300,pure_small,1.0,1.0,,,10.98,7.77,7.53,7.62,10.74
SOT,ootb,ootb/car_26,car,300,300,pure_small,1.0,1.0,,,16.18,15.78,9.98,10.45,16.1
SOT,ootb,ootb/car_27,car,200,200,pure_small,1.0,1.0,,,25.22,24.66,20.41,20.41,25.22
SOT,ootb,ootb/car_28,car,200,200,mixed,0.78,0.0,,,33.97,24.58,23.37,23.37,33.97
SOT,ootb,ootb/car_29,car,200,200,pure_small,1.0,1.0,,,15.21,14.74,12.95,13.32,15.21
SOT,ootb,ootb/car_3,car,500,500,pure_small,1.0,1.0,,,13.43,12.19,8.84,9.16,13.38
SOT,ootb,ootb/car_30,car,260,260,pure_small,1.0,1.0,,,15.03,14.32,12.73,13.6,15.03
SOT,ootb,ootb/car_31,car,200,200,pure_small,1.0,1.0,,,13.6,12.07,10.01,10.23,13.6
