seq_id,category,has_det_xml,det_tracks,tracks_added,tracks_added_airplane,tracks_added_ship,tracks_added_train,tracks_added_holey,tracks_skipped,boxes_before,boxes_added,boxes_added_with_sam3,boxes_hole_filled,boxes_regeometried,boxes_total
satmtb/airplane/02,mixed,True,3,0,0,0,0,0,3,279,0,0,0,279,279
satmtb/airplane/03,airplane,True,5,3,3,0,0,0,2,346,519,519,0,346,865
satmtb/airplane/04,airplane,True,8,7,7,0,0,0,1,145,1015,1015,0,145,1160
satmtb/airplane/05,airplane,True,11,8,8,0,0,0,3,774,2064,2064,0,774,2838
satmtb/airplane/06,mixed,True,4,0,0,0,0,0,4,12510,0,0,0,662,12510
satmtb/airplane/07,airplane,True,13,11,11,0,0,0,2,430,2365,2365,0,430,2795
satmtb/airplane/08,airplane,True,7,6,6,0,0,0,1,152,912,912,0,152,1064
satmtb/airplane/09,mixed,True,14,11,11,0,0,0,3,6441,3168,3168,0,789,9609
satmtb/airplane/10,airplane,True,21,19,19,0,0,0,2,576,5472,5472,0,576,6048
satmtb/airplane/11,mixed,True,19,18,18,0,0,0,1,12556,5184,5184,0,288,17740
satmtb/airplane/12,airplane,True,8,5,5,0,0,0,3,537,1215,1215,0,537,1752
satmtb/airplane/13,mixed,True,9,8,8,0,0,0,1,4293,1944,1944,0,243,6237
satmtb/airplane/14,airplane,True,8,7,7,0,0,0,1,243,1701,1701,0,243,1944
satmtb/airplane/15,airplane,True,6,4,4,0,0,0,2,393,1172,1172,0,393,1565
satmtb/airplane/16,airplane,True,7,3,3,0,0,0,4,819,879,879,0,819,1698
satmtb/airplane/17,mixed,True,6,5,5,0,0,0,1,8511,1465,1465,0,293,9976
satmtb/airplane/18,airplane,True,12,10,10,0,0,0,2,321,2330,2099,231,321,2651
satmtb/airplane/19,airplane,True,11,10,10,0,0,0,1,80,800,800,0,80,880
satmtb/airplane/20,airplane,True,13,11,11,0,0,0,2,386,2123,2123,0,386,2509
satmtb/airplane/21,airplane,True,8,5,5,0,0,0,3,579,965,965,0,579,1544
satmtb/airplane/22,mixed,True,29,25,25,0,0,0,4,13598,4825,4825,0,772,18423
satmtb/airplane/23,airplane,True,8,6,6,0,0,0,2,78,384,384,0,78,462
satmtb/airplane/24,airplane,True,1,0,0,0,0,0,1,193,0,0,0,193,193
satmtb/airplane/25,mixed,True,10,9,9,0,0,0,1,4912,1260,1260,0,140,6172
satmtb/airplane/26,airplane,True,14,13,13,0,0,0,1,142,1846,1846,0,142,1988
satmtb/airplane/27,mixed,True,16,12,12,0,0,0,4,70084,3828,3828,0,1106,73912
