seq_id,dataset,category,track_id,n_obs,median_sqrt_area,net_disp_px,path_len_px,net_disp_ratio,path_len_ratio,mean_step_px
airmot/3,airmot,airplane,1,143,29.46,43.86,56.14,1.489,1.906,0.395
airmot/4,airmot,airplane,1,143,32.5,203.51,216.28,6.263,6.656,1.523
airmot/5,airmot,airplane,1,143,32.47,9.01,9.74,0.278,0.3,0.069
airmot/5,airmot,airplane,2,143,29.98,0.0,0.0,0.0,0.0,0.0
airmot/5,airmot,airplane,3,143,51.76,0.0,0.0,0.0,0.0,0.0
airmot/5,airmot,airplane,4,143,51.99,0.0,0.0,0.0,0.0,0.0
airmot/5,airmot,airplane,5,143,47.5,0.0,0.0,0.0,0.0,0.0
airmot/5,airmot,airplane,6,143,43.37,0.0,0.0,0.0,0.0,0.0
airmot/6,airmot,airplane,1,110,29.85,99.62,110.45,3.338,3.7,1.013
airmot/7,airmot,airplane,1,143,32.98,0.0,2.83,0.0,0.086,0.02
airmot/7,airmot,airplane,2,143,30.0,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,3,143,32.19,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,4,143,55.44,0.0,2.83,0.0,0.051,0.02
airmot/7,airmot,airplane,5,143,33.5,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,6,143,27.98,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,7,143,24.98,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,8,143,27.46,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,9,143,27.93,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,10,143,25.98,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,11,143,41.95,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,12,143,49.5,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,13,143,30.3,0.0,2.0,0.0,0.066,0.014
airmot/7,airmot,airplane,14,143,31.18,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,15,143,30.46,36.4,47.0,1.195,1.543,0.331
airmot/7,airmot,airplane,16,143,48.91,0.0,0.0,0.0,0.0,0.0
airmot/7,airmot,airplane,17,143,28.46,0.0,0.0,0.0,0.0,0.0
