detector,bin,px_range,n_gt,Precision,Recall,F1
FasterRCNN,0,0–18,1533,0.6119,0.8421,0.7088
FasterRCNN,1,18–30,1543,0.8141,0.8652,0.8389
FasterRCNN,2,30–42,1537,0.8856,0.9369,0.9105
FasterRCNN,3,42–63,1538,0.8888,0.9363,0.9119
FasterRCNN,4,63–208,1538,0.8666,0.9447,0.9040
FasterRCNN,5,>208,1538,0.9235,0.9948,0.9578
YOLO11l,0,0–18,1533,0.7731,0.6882,0.7282
YOLO11l,1,18–30,1543,0.9019,0.8412,0.8705
YOLO11l,2,30–42,1537,0.9500,0.9122,0.9307
YOLO11l,3,42–63,1538,0.9473,0.9103,0.9284
YOLO11l,4,63–208,1538,0.9393,0.8986,0.9185
YOLO11l,5,>208,1538,0.9860,0.9759,0.9809
DINOv3,0,0–18,1533,0.8636,0.0470,0.0891
DINOv3,1,18–30,1543,0.9359,0.2366,0.3777
DINOv3,2,30–42,1537,0.9791,0.6357,0.7708
DINOv3,3,42–63,1538,0.9465,0.8479,0.8944
DINOv3,4,63–208,1538,0.9461,0.9077,0.9265
DINOv3,5,>208,1538,0.9538,0.9720,0.9628
