detector,bin,px_range,n_gt,Precision,Recall,F1
FasterRCNN,0,0–20,14929,0.2971,0.4892,0.3697
FasterRCNN,1,20–26,14937,0.5580,0.4524,0.4997
FasterRCNN,2,26–42,14939,0.6686,0.6866,0.6775
FasterRCNN,3,42–51,14759,0.7298,0.9237,0.8154
FasterRCNN,4,51–67,15126,0.8709,0.9732,0.9192
FasterRCNN,5,>67,14944,0.7625,0.9449,0.8439
YOLO11l,0,0–20,14929,0.5135,0.2429,0.3298
YOLO11l,1,20–26,14937,0.5985,0.4748,0.5295
YOLO11l,2,26–42,14939,0.6799,0.7545,0.7152
YOLO11l,3,42–51,14759,0.9075,0.9213,0.9143
YOLO11l,4,51–67,15126,0.9306,0.9745,0.9521
YOLO11l,5,>67,14944,0.9529,0.9245,0.9385
DINOv3,0,0–20,14929,0.4698,0.0366,0.0680
DINOv3,1,20–26,14937,0.4953,0.3118,0.3827
DINOv3,2,26–42,14939,0.7610,0.5480,0.6372
DINOv3,3,42–51,14759,0.8658,0.6807,0.7621
DINOv3,4,51–67,15126,0.8456,0.6121,0.7101
DINOv3,5,>67,14944,0.8115,0.7688,0.7896
