seq_id,seq_category,category,det_object_id,n_obs,median_sqrt_area,net_disp_px,net_disp_ratio,frac_frames_in_mot,in_mot
satmtb/airplane/02,airplane,ship,3,93,7.55,39.55,5.237,1.0,True
satmtb/airplane/02,airplane,airplane,1,93,40.51,108.62,2.681,1.0,True
satmtb/airplane/02,airplane,airplane,2,93,25.14,100.54,3.999,1.0,True
satmtb/airplane/03,airplane,airplane,1,173,36.58,1252.48,34.242,1.0,True
satmtb/airplane/03,airplane,airplane,2,173,34.17,139.12,4.072,1.0,True
satmtb/airplane/03,airplane,airplane,3,173,34.04,17.5,0.514,0.0,False
satmtb/airplane/03,airplane,airplane,4,173,35.17,18.82,0.535,0.0,False
satmtb/airplane/03,airplane,airplane,5,173,32.1,16.94,0.528,0.0,False
satmtb/airplane/04,airplane,airplane,1,145,80.44,0.0,0.0,0.0,False
satmtb/airplane/04,airplane,airplane,2,145,100.45,0.0,0.0,0.0,False
satmtb/airplane/04,airplane,airplane,3,145,62.81,0.0,0.0,0.0,False
satmtb/airplane/04,airplane,airplane,4,145,68.46,0.0,0.0,0.0,False
satmtb/airplane/04,airplane,airplane,5,145,51.72,1113.24,21.526,1.0,True
satmtb/airplane/04,airplane,airplane,6,145,44.96,0.0,0.0,0.0,False
satmtb/airplane/04,airplane,airplane,7,145,62.85,0.0,0.0,0.0,False
satmtb/airplane/04,airplane,airplane,8,145,51.24,0.0,0.0,0.0,False
satmtb/airplane/05,airplane,airplane,1,258,50.82,0.0,0.0,0.0,False
satmtb/airplane/05,airplane,airplane,2,258,54.1,259.15,4.791,1.0,True
satmtb/airplane/05,airplane,airplane,3,258,38.84,192.25,4.949,1.0,True
satmtb/airplane/05,airplane,airplane,4,258,39.29,0.0,0.0,0.0,False
satmtb/airplane/05,airplane,airplane,5,258,24.88,0.0,0.0,0.0,False
satmtb/airplane/05,airplane,airplane,6,258,77.52,0.0,0.0,0.0,False
satmtb/airplane/05,airplane,airplane,7,258,47.29,0.0,0.0,0.0,False
satmtb/airplane/05,airplane,airplane,8,258,48.93,376.18,7.689,1.0,True
satmtb/airplane/05,airplane,airplane,9,258,65.12,0.0,0.0,0.0,False
satmtb/airplane/05,airplane,airplane,10,258,51.93,0.0,0.0,0.0,False
satmtb/airplane/05,airplane,airplane,11,258,34.11,0.0,0.0,0.0,False
satmtb/airplane/06,airplane,airplane,1,178,53.25,206.56,3.879,1.0,True
satmtb/airplane/06,airplane,airplane,2,178,45.59,76.3,1.674,1.0,True
satmtb/airplane/06,airplane,airplane,3,178,51.41,579.62,11.275,1.0,True
satmtb/airplane/06,airplane,airplane,4,128,60.78,35.8,0.589,1.0,True
satmtb/airplane/07,airplane,airplane,1,215,40.72,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,2,215,45.19,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,3,215,35.78,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,4,215,46.84,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,5,215,28.54,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,6,215,41.43,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,7,215,40.56,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,8,215,40.58,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,9,215,45.22,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,10,215,50.54,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,11,215,41.0,0.0,0.0,0.0,False
satmtb/airplane/07,airplane,airplane,12,215,47.78,179.61,3.759,1.0,True
satmtb/airplane/07,airplane,airplane,13,215,52.23,195.59,3.745,1.0,True
satmtb/airplane/08,airplane,airplane,1,152,20.95,0.0,0.0,0.0,False
satmtb/airplane/08,airplane,airplane,2,152,19.97,0.0,0.0,0.0,False
satmtb/airplane/08,airplane,airplane,3,152,24.34,0.0,0.0,0.0,False
satmtb/airplane/08,airplane,airplane,4,152,20.04,0.0,0.0,0.0,False
satmtb/airplane/08,airplane,airplane,5,152,77.18,0.0,0.0,0.0,False
satmtb/airplane/08,airplane,airplane,6,152,69.81,0.0,0.0,0.0,False
satmtb/airplane/08,airplane,airplane,7,152,45.1,900.73,19.973,1.0,True
satmtb/airplane/09,airplane,airplane,1,288,58.2,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,2,288,44.08,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,3,288,46.97,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,4,288,31.99,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,5,288,30.68,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,6,288,28.04,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,7,288,28.17,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,8,288,28.87,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,9,288,25.94,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,10,288,49.79,44.27,0.889,0.361,False
satmtb/airplane/09,airplane,airplane,11,288,51.11,0.0,0.0,0.0,False
satmtb/airplane/09,airplane,airplane,12,253,50.06,239.57,4.786,1.0,True
satmtb/airplane/09,airplane,airplane,13,144,32.56,93.04,2.857,0.986,True
satmtb/airplane/09,airplane,airplane,14,288,77.73,216.03,2.779,1.0,True
satmtb/airplane/10,airplane,airplane,1,288,52.44,0.58,0.011,0.0,False
satmtb/airplane/10,airplane,airplane,2,288,44.9,0.66,0.015,0.0,False
satmtb/airplane/10,airplane,airplane,3,288,50.74,0.62,0.012,0.0,False
satmtb/airplane/10,airplane,airplane,4,288,49.61,1.05,0.021,0.0,False
satmtb/airplane/10,airplane,airplane,5,288,49.42,0.43,0.009,0.0,False
satmtb/airplane/10,airplane,airplane,6,288,65.09,0.76,0.012,0.0,False
satmtb/airplane/10,airplane,airplane,7,288,35.38,0.0,0.0,0.0,False
satmtb/airplane/10,airplane,airplane,8,288,37.8,0.0,0.0,0.0,False
satmtb/airplane/10,airplane,airplane,9,288,40.37,3.39,0.084,0.0,False
satmtb/airplane/10,airplane,airplane,10,288,34.04,0.0,0.0,0.0,False
satmtb/airplane/10,airplane,airplane,11,288,49.13,1.22,0.025,0.0,False
satmtb/airplane/10,airplane,airplane,12,288,54.62,3.21,0.059,0.0,False
satmtb/airplane/10,airplane,airplane,13,288,48.73,0.0,0.0,0.0,False
satmtb/airplane/10,airplane,airplane,14,288,50.24,0.0,0.0,0.0,False
satmtb/airplane/10,airplane,airplane,15,288,46.51,0.78,0.017,0.0,False
